epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.785,1.85783,2.0575,1.15599,0.74702,0.69675,0.73245,0.42349,1.53771,1.64564,1.06805,0.000651852,0.000651852,0.000651852
2,911.464,1.44111,0.96792,0.99418,0.81813,0.8618,0.86835,0.54252,1.29578,0.99093,0.97176,0.00130547,0.00130547,0.00130547
3,1359.35,1.36798,0.84326,0.97604,0.85846,0.86164,0.91016,0.57642,1.26609,0.83838,0.95205,0.00194588,0.00194588,0.00194588
4,1799.02,1.32512,0.81325,0.96351,0.87057,0.85696,0.90899,0.56761,1.30764,0.85508,0.96337,0.0019406,0.0019406,0.0019406
5,2234.09,1.32688,0.77436,0.96332,0.88312,0.88416,0.9275,0.59998,1.21326,0.76649,0.94409,0.0019208,0.0019208,0.0019208
6,2664.42,1.31085,0.75334,0.95958,0.88489,0.88894,0.92716,0.61513,1.18993,0.72097,0.94032,0.001901,0.001901,0.001901
7,3098.68,1.28402,0.73705,0.95094,0.85935,0.86724,0.91218,0.59913,1.1709,0.81615,0.92922,0.0018812,0.0018812,0.0018812
8,3530.18,1.26101,0.72358,0.94483,0.88384,0.89226,0.93336,0.62586,1.18125,0.74549,0.94106,0.0018614,0.0018614,0.0018614
9,3962.91,1.26196,0.71307,0.94388,0.89143,0.89945,0.93899,0.63618,1.14391,0.67626,0.93782,0.0018416,0.0018416,0.0018416
10,4398.61,1.24605,0.70207,0.94481,0.88392,0.89467,0.93276,0.61734,1.19216,0.6976,0.9398,0.0018218,0.0018218,0.0018218
11,4828.38,1.25402,0.69931,0.95,0.90159,0.8924,0.94049,0.62521,1.14152,0.71162,0.92722,0.001802,0.001802,0.001802
12,5265.37,1.23321,0.68969,0.94412,0.88936,0.89039,0.93787,0.63613,1.14854,0.67693,0.93409,0.0017822,0.0017822,0.0017822
