epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.5724,2.65973,1.76781,1.2287,0.24953,0.32103,0.18922,0.06502,2.72747,1.58083,1.10763,0.0673708,0.000329588,0.000329588
2,119.935,2.45266,1.35742,1.11537,0.44692,0.45314,0.39513,0.11444,2.69409,1.49072,1.08643,0.0343642,0.000656358,0.000656358
3,176.297,2.37218,1.29068,1.07395,0.67114,0.62534,0.63245,0.2797,2.06996,1.12792,1.01689,0.00135106,0.000976529,0.000976529
4,232.255,2.13076,1.16466,1.02783,0.67504,0.62696,0.63742,0.2952,2.0099,1.0889,1.00569,0.0009703,0.0009703,0.0009703
5,288.619,2.02755,1.10206,1.02046,0.57637,0.54565,0.53626,0.19826,2.44769,1.4048,1.07298,0.0009604,0.0009604,0.0009604
6,345.204,2.05112,1.12699,1.0208,0.74004,0.65057,0.69061,0.32369,1.94652,1.0269,1.00467,0.0009505,0.0009505,0.0009505
7,405.935,1.91038,1.0513,0.99886,0.6365,0.61178,0.60289,0.25596,2.10474,1.14695,1.0177,0.0009406,0.0009406,0.0009406
8,463.722,1.94258,1.06186,1.00206,0.76156,0.69139,0.72552,0.37465,1.79759,0.96724,0.98912,0.0009307,0.0009307,0.0009307
9,519.95,1.85472,1.00549,0.97921,0.66988,0.63856,0.63747,0.30134,1.95239,1.09979,0.99694,0.0009208,0.0009208,0.0009208
10,576.113,1.85784,1.0012,0.98396,0.76831,0.70194,0.74034,0.36402,1.84316,0.94179,0.97757,0.0009109,0.0009109,0.0009109
11,632.173,1.82232,0.96853,0.97998,0.76589,0.71022,0.73902,0.37158,1.77766,0.92087,0.96133,0.000901,0.000901,0.000901
12,688.456,1.76021,0.94262,0.96394,0.78319,0.71858,0.75629,0.41125,1.66635,0.89871,0.9486,0.0008911,0.0008911,0.0008911
13,744.283,1.75072,0.94351,0.95899,0.776,0.73432,0.75902,0.40716,1.68153,0.93102,0.95244,0.0008812,0.0008812,0.0008812
14,800.697,1.75371,0.92737,0.9648,0.7837,0.71833,0.75911,0.40322,1.69144,0.8967,0.94612,0.0008713,0.0008713,0.0008713
