Timestamp,GPU Load,GPU Memory Used,GPU Memory Total,GPU Temperature,CPU Usage,Memory Usage
2025-05-17 20:04:09,0.0%,81.0MB,8188.0MB,37.0°C,0.0%,54.7%
2025-05-17 20:04:10,0.0%,81.0MB,8188.0MB,37.0°C,17.0%,54.9%
2025-05-17 20:04:11,0.0%,81.0MB,8188.0MB,37.0°C,15.9%,55.0%
2025-05-17 20:04:12,0.0%,81.0MB,8188.0MB,37.0°C,24.0%,55.2%
2025-05-17 20:04:13,0.0%,81.0MB,8188.0MB,37.0°C,20.3%,55.3%
2025-05-17 20:04:14,0.0%,81.0MB,8188.0MB,37.0°C,21.0%,55.8%
2025-05-17 20:04:15,0.0%,81.0MB,8188.0MB,37.0°C,23.4%,56.1%
2025-05-17 20:04:16,0.0%,81.0MB,8188.0MB,37.0°C,24.3%,56.7%
2025-05-17 20:04:18,0.0%,81.0MB,8188.0MB,37.0°C,28.7%,56.9%
2025-05-17 20:04:19,0.0%,81.0MB,8188.0MB,37.0°C,21.8%,58.0%
2025-05-17 20:04:20,0.0%,81.0MB,8188.0MB,37.0°C,24.3%,58.1%
2025-05-17 20:04:21,0.0%,81.0MB,8188.0MB,37.0°C,18.4%,58.1%
2025-05-17 20:04:22,0.0%,81.0MB,8188.0MB,37.0°C,19.5%,58.5%
2025-05-17 20:04:23,6.0%,268.0MB,8188.0MB,38.0°C,17.8%,59.8%
2025-05-17 20:04:24,0.0%,268.0MB,8188.0MB,38.0°C,10.1%,59.7%
2025-05-17 20:04:25,0.0%,268.0MB,8188.0MB,38.0°C,11.9%,59.9%
2025-05-17 20:04:26,0.0%,274.0MB,8188.0MB,38.0°C,10.3%,61.2%
2025-05-17 20:04:27,2.0%,296.0MB,8188.0MB,39.0°C,15.0%,64.3%
2025-05-17 20:04:28,0.0%,296.0MB,8188.0MB,39.0°C,17.4%,64.8%
2025-05-17 20:04:30,0.0%,296.0MB,8188.0MB,38.0°C,15.6%,64.9%
2025-05-17 20:04:31,0.0%,296.0MB,8188.0MB,38.0°C,19.2%,65.0%
2025-05-17 20:04:32,0.0%,296.0MB,8188.0MB,38.0°C,15.8%,64.8%
2025-05-17 20:04:33,0.0%,296.0MB,8188.0MB,38.0°C,40.3%,66.1%
2025-05-17 20:04:34,0.0%,296.0MB,8188.0MB,38.0°C,58.1%,66.0%
2025-05-17 20:04:35,0.0%,296.0MB,8188.0MB,38.0°C,62.4%,67.3%
2025-05-17 20:04:36,0.0%,296.0MB,8188.0MB,38.0°C,65.7%,67.3%
2025-05-17 20:04:37,0.0%,296.0MB,8188.0MB,38.0°C,60.1%,67.9%
2025-05-17 20:04:38,0.0%,296.0MB,8188.0MB,38.0°C,64.1%,67.2%
2025-05-17 20:04:39,0.0%,296.0MB,8188.0MB,38.0°C,60.3%,66.8%
2025-05-17 20:04:41,0.0%,296.0MB,8188.0MB,38.0°C,56.9%,68.1%
2025-05-17 20:04:42,0.0%,296.0MB,8188.0MB,38.0°C,56.0%,67.3%
2025-05-17 20:04:43,0.0%,296.0MB,8188.0MB,38.0°C,56.0%,68.1%
